Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C64",0402,2,10 µF,
"C1A1, C1A10, C1A11, C1A12, C1A13, C1A14, C1A15, C1A16, C1A17, C1A18, C1A19, C1A2, C1A20, C1A21, C1A22, C1A23, C1A24, C1A25, C1A26, C1A27, C1A28, C1A29, C1A3, C1A30, C1A31, C1A32, C1A33, C1A34, C1A35, C1A36, C1A37, C1A38, C1A39, C1A4, C1A40, C1A41, C1A42, C1A43, C1A44, C1A45, C1A46, C1A47, C1A48, C1A49, C1A5, C1A50, C1A51, C1A52, C1A53, C1A54, C1A55, C1A56, C1A57, C1A58, C1A59, C1A6, C1A60, C1A61, C1A62, C1A63, C1A64, C1A7, C1A8, C1A9, C2A1, C2A10, C2A11, C2A12, C2A13, C2A14, C2A15, C2A16, C2A2, C2A3, C2A4, C2A5, C2A6, C2A7, C2A8, C2A9, C2B1, C2B10, C2B11, C2B12, C2B13, C2B14, C2B15, C2B16, C2B2, C2B3, C2B4, C2B5, C2B6, C2B7, C2B8, C2B9, C3A1, C3A10, C3A11, C3A12, C3A13, C3A14, C3A15, C3A16, C3A2, C3A3, C3A4, C3A5, C3A6, C3A7, C3A8, C3A9, C3B1, C3B10, C3B11, C3B12, C3B13, C3B14, C3B15, C3B16, C3B2, C3B3, C3B4, C3B5, C3B6, C3B7, C3B8, C3B9",0402,128,0.1u,
"J1, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J2, J4",SAMTEC_HSEC8-170-01-X-DV-A-CAEN-PINOUT,2,HSEC8-170-01-X-DV-A,
"J5, J6",CONN_691321300002_WRE,2,Conn_01x02_Pin,
"R1A1, R1A10, R1A11, R1A12, R1A13, R1A14, R1A15, R1A16, R1A17, R1A18, R1A19, R1A2, R1A20, R1A21, R1A22, R1A23, R1A24, R1A25, R1A26, R1A27, R1A28, R1A29, R1A3, R1A30, R1A31, R1A32, R1A33, R1A34, R1A35, R1A36, R1A37, R1A38, R1A39, R1A4, R1A40, R1A41, R1A42, R1A43, R1A44, R1A45, R1A46, R1A47, R1A48, R1A49, R1A5, R1A50, R1A51, R1A52, R1A53, R1A54, R1A55, R1A56, R1A57, R1A58, R1A59, R1A6, R1A60, R1A61, R1A62, R1A63, R1A64, R1A7, R1A8, R1A9, R1B1, R1B10, R1B11, R1B12, R1B13, R1B14, R1B15, R1B16, R1B17, R1B18, R1B19, R1B2, R1B20, R1B21, R1B22, R1B23, R1B24, R1B25, R1B26, R1B27, R1B28, R1B29, R1B3, R1B30, R1B31, R1B32, R1B33, R1B34, R1B35, R1B36, R1B37, R1B38, R1B39, R1B4, R1B40, R1B41, R1B42, R1B43, R1B44, R1B45, R1B46, R1B47, R1B48, R1B49, R1B5, R1B50, R1B51, R1B52, R1B53, R1B54, R1B55, R1B56, R1B57, R1B58, R1B59, R1B6, R1B60, R1B61, R1B62, R1B63, R1B64, R1B7, R1B8, R1B9",0603,128,25.96,
"R2A1, R2A10, R2A11, R2A12, R2A13, R2A14, R2A15, R2A16, R2A17, R2A18, R2A19, R2A2, R2A20, R2A21, R2A22, R2A23, R2A24, R2A25, R2A26, R2A27, R2A28, R2A29, R2A3, R2A30, R2A31, R2A32, R2A33, R2A34, R2A35, R2A36, R2A37, R2A38, R2A39, R2A4, R2A40, R2A41, R2A42, R2A43, R2A44, R2A45, R2A46, R2A47, R2A48, R2A49, R2A5, R2A50, R2A51, R2A52, R2A53, R2A54, R2A55, R2A56, R2A57, R2A58, R2A59, R2A6, R2A60, R2A61, R2A62, R2A63, R2A64, R2A7, R2A8, R2A9",0603,64,35.14,
"R3A1, R3A10, R3A11, R3A12, R3A13, R3A14, R3A15, R3A16, R3A17, R3A18, R3A19, R3A2, R3A20, R3A21, R3A22, R3A23, R3A24, R3A25, R3A26, R3A27, R3A28, R3A29, R3A3, R3A30, R3A31, R3A32, R3A4, R3A5, R3A6, R3A7, R3A8, R3A9, R3B1, R3B10, R3B11, R3B12, R3B13, R3B14, R3B15, R3B16, R3B17, R3B18, R3B19, R3B2, R3B20, R3B21, R3B22, R3B23, R3B24, R3B25, R3B26, R3B27, R3B28, R3B29, R3B3, R3B30, R3B31, R3B32, R3B4, R3B5, R3B6, R3B7, R3B8, R3B9, R3C1, R3C10, R3C11, R3C12, R3C13, R3C14, R3C15, R3C16, R3C17, R3C18, R3C19, R3C2, R3C20, R3C21, R3C22, R3C23, R3C24, R3C25, R3C26, R3C27, R3C28, R3C29, R3C3, R3C30, R3C31, R3C32, R3C4, R3C5, R3C6, R3C7, R3C8, R3C9, R3D1, R3D10, R3D11, R3D12, R3D13, R3D14, R3D15, R3D16, R3D17, R3D18, R3D19, R3D2, R3D20, R3D21, R3D22, R3D23, R3D24, R3D25, R3D26, R3D27, R3D28, R3D29, R3D3, R3D30, R3D31, R3D32, R3D4, R3D5, R3D6, R3D7, R3D8, R3D9",0402,128,25.96,
"R4A1, R4A10, R4A11, R4A12, R4A13, R4A14, R4A15, R4A16, R4A17, R4A18, R4A19, R4A2, R4A20, R4A21, R4A22, R4A23, R4A24, R4A25, R4A26, R4A27, R4A28, R4A29, R4A3, R4A30, R4A31, R4A32, R4A4, R4A5, R4A6, R4A7, R4A8, R4A9, R4B1, R4B10, R4B11, R4B12, R4B13, R4B14, R4B15, R4B16, R4B17, R4B18, R4B19, R4B2, R4B20, R4B21, R4B22, R4B23, R4B24, R4B25, R4B26, R4B27, R4B28, R4B29, R4B3, R4B30, R4B31, R4B32, R4B4, R4B5, R4B6, R4B7, R4B8, R4B9",0402,64,35.14,
"RJ45-1, RJ45-10, RJ45-11, RJ45-12, RJ45-13, RJ45-14, RJ45-15, RJ45-16, RJ45-17, RJ45-18, RJ45-19, RJ45-2, RJ45-20, RJ45-21, RJ45-22, RJ45-23, RJ45-24, RJ45-25, RJ45-26, RJ45-27, RJ45-28, RJ45-29, RJ45-3, RJ45-30, RJ45-31, RJ45-32, RJ45-4, RJ45-5, RJ45-6, RJ45-7, RJ45-8, RJ45-9",RJJS-88-122-E7V-022,32,RJ45_Shielded,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW7, SW8, SW9",Nidec_DPDT_CS422YTA,64,SW_DPDT_x2,
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U4, U5, U6, U7, U8, U9",RUM0016E_TEX,32,TMUX7612RUMR,
