Designator,Mid X,Mid Y,Rotation,Layer
C1,59.92,-171.71,90.0,bottom
C1A1,59.8825,-96.25,270.0,bottom
C1A10,62.64,-141.535,270.0,bottom
C1A11,52.428564,-130.796076,270.0,bottom
C1A12,53.267534,-141.344052,270.0,bottom
C1A13,62.65,-150.385,270.0,bottom
C1A14,62.5775,-159.293017,270.0,bottom
C1A15,53.175,-149.905,270.0,bottom
C1A16,53.2875,-159.114476,270.0,bottom
C1A17,62.803259,-168.013017,270.0,bottom
C1A18,62.559966,-176.858965,270.0,bottom
C1A19,53.417534,-167.440511,270.0,bottom
C1A2,61.3825,-105.25,270.0,bottom
C1A20,52.927534,-176.884052,270.0,bottom
C1A21,62.034966,-185.688965,270.0,bottom
C1A22,62.4575,-194.648017,270.0,bottom
C1A23,52.907534,-185.389052,270.0,bottom
C1A24,53.0425,-194.639482,270.0,bottom
C1A25,61.033,-216.6125,270.0,bottom
C1A26,61.143,-225.445,270.0,bottom
C1A27,52.2555,-216.475,270.0,bottom
C1A28,53.343,-225.445,270.0,bottom
C1A29,61.243,-234.245,270.0,bottom
C1A3,53.1325,-96.31,270.0,bottom
C1A30,62.043,-242.995,270.0,bottom
C1A31,52.743,-234.245,270.0,bottom
C1A32,53.343,-243.045,270.0,bottom
C1A33,61.95,-251.755,270.0,bottom
C1A34,62.58,-260.985,270.0,bottom
C1A35,53.55,-251.955,270.0,bottom
C1A36,54.79,-260.995,270.0,bottom
C1A37,62.19,-269.745,270.0,bottom
C1A38,62.21,-278.625,270.0,bottom
C1A39,54.19,-269.595,270.0,bottom
C1A4,53.2375,-105.47,270.0,bottom
C1A40,54.61,-278.825,270.0,bottom
C1A41,62.41,-287.45,270.0,bottom
C1A42,62.075,-296.4,270.0,bottom
C1A43,54.41,-287.65,270.0,bottom
C1A44,54.3,-296.605,270.0,bottom
C1A45,62.03,-305.31,270.0,bottom
C1A46,61.85,-314.17,270.0,bottom
C1A47,54.225,-305.39,270.0,bottom
C1A48,54.05,-314.37,270.0,bottom
C1A49,61.96,-323.3,270.0,bottom
C1A5,61.6075,-113.935,270.0,bottom
C1A50,61.11,-332.37,270.0,bottom
C1A51,54.06,-323.3,270.0,bottom
C1A52,53.71,-332.37,270.0,bottom
C1A53,61.26,-341.575,270.0,bottom
C1A54,61.38,-350.71,270.0,bottom
C1A55,53.21,-341.625,270.0,bottom
C1A56,53.81,-350.825,270.0,bottom
C1A57,61.139073,-359.718182,270.0,bottom
C1A58,61.360646,-368.5791,270.0,bottom
C1A59,53.339073,-359.718182,270.0,bottom
C1A6,62.46647,-123.512976,270.0,bottom
C1A60,53.760646,-368.5791,270.0,bottom
C1A61,61.312073,-377.683935,270.0,bottom
C1A62,60.98,-386.585,270.0,bottom
C1A63,53.749573,-377.351952,270.0,bottom
C1A64,53.6175,-386.353017,270.0,bottom
C1A7,53.262034,-114.544052,270.0,bottom
C1A8,53.1675,-123.325,270.0,bottom
C1A9,62.475996,-132.654006,270.0,bottom
C2A1,100.117554,-105.35,270.0,bottom
C2A10,88.700446,-176.170879,270.0,bottom
C2A11,100.0869,-193.756099,270.0,bottom
C2A12,88.700446,-193.876099,270.0,bottom
C2A13,100.1469,-223.37,270.0,bottom
C2A14,88.700446,-223.38,270.0,bottom
C2A15,100.1469,-241.18,270.0,bottom
C2A16,88.700446,-241.18,270.0,bottom
C2A2,88.6711,-105.35,270.0,bottom
C2A3,100.117554,-123.05522,270.0,bottom
C2A4,88.6711,-123.05522,270.0,bottom
C2A5,100.1469,-140.76044,270.0,bottom
C2A6,88.700446,-140.76044,270.0,bottom
C2A7,100.1469,-158.465659,270.0,bottom
C2A8,88.700446,-158.465659,270.0,bottom
C2A9,100.1469,-176.170879,270.0,bottom
C2B1,103.117554,-95.82,90.0,bottom
C2B10,91.700446,-166.640879,90.0,bottom
C2B11,103.0869,-184.226099,90.0,bottom
C2B12,91.700446,-184.346099,90.0,bottom
C2B13,103.1469,-213.84,90.0,bottom
C2B14,91.700446,-213.85,90.0,bottom
C2B15,103.1469,-231.65,90.0,bottom
